"","Name","Sex","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"180","Cryptoprocto _ferox","Not mentioned",1496.6,126,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No","Felidae"
"181","Cynictis_penicillata","F",1445.9,68,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No","Others"
"182","Cynictis_penicillata","M",1437,106,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No","Others"
"183","Cynictis_penicillata","Not mentioned",1495.1,128,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No","Others"
"184","Dasypus_novemcinctus","F",1329,61,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No","Others"
"185","Dasypus_novemcinctus","M",1354.3,54,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No","Others"
"186","Dasypus_novemcinctus","Not mentioned",1263.1,14,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No","Others"
"187","Daubentonia_madagascariensis","F",1551.7,151,"Daubentonia_madagascariensis","Mammal","Primate","No","No","No","Primate"
"188","Daubentonia_madagascariensis","M",1567.3,135,"Daubentonia_madagascariensis","Mammal","Primate","No","No","No","Primate"
"189","Daubentonia_madagascariensis","Not mentioned",1493.6,109,"Daubentonia_madagascariensis","Mammal","Primate","No","No","No","Primate"
"190","Dendroaspis_angusticeps","F",1779,200,"Dendroaspis_angusticeps","Squamata","Snake","No","Yes","Yes","Snake"
"191","Dendroaspis_angusticeps","M",1782,215,"Dendroaspis_angusticeps","Squamata","Snake","No","Yes","Yes","Snake"
"192","Dendroaspis_angusticeps","Not mentioned",1776.9,203,"Dendroaspis_angusticeps","Squamata","Snake","No","Yes","Yes","Snake"
"193","Desmodus_rotondus","F",1575.9,158,"Desmodus_rotundus","Mammal","Chiroptera","No","Yes","No","Others"
"194","Desmodus_rotondus","M",1574.7,121,"Desmodus_rotundus","Mammal","Chiroptera","No","Yes","No","Others"
"195","Desmodus_rotondus","Not mentioned",1462.4,106,"Desmodus_rotundus","Mammal","Chiroptera","No","Yes","No","Others"
"196","Didelphis_virginiana","F",1412.8,85,"Didelphis_virginiana","Mammal","Marsupial","No","No","No","Others"
"197","Didelphis_virginiana","M",1437.3,98,"Didelphis_virginiana","Mammal","Marsupial","No","No","No","Others"
"198","Didelphis_virginiana","Not mentioned",1611.3,152,"Didelphis_virginiana","Mammal","Marsupial","No","No","No","Others"
"199","Equus_caballus","F",1203.3,12,"Equus_caballus","Mammal","Ungulate","No","No","No","Others"
"200","Equus_caballus","M",1228,36,"Equus_caballus","Mammal","Ungulate","No","No","No","Others"
"201","Equus_caballus","Not mentioned",1353.2,56,"Equus_caballus","Mammal","Ungulate","No","No","No","Others"
"202","Eudyptes chrysolophus","F",1210.8,16,"Eudyptes_chrysolophus","Bird","Bird(notRaptor)","No","Yes","No","Others"
"203","Eudyptes chrysolophus","M",1265.7,24,"Eudyptes_chrysolophus","Bird","Bird(notRaptor)","No","Yes","No","Others"
"204","Eudyptes chrysolophus","Not mentioned",1285.5,24,"Eudyptes_chrysolophus","Bird","Bird(notRaptor)","No","Yes","No","Others"
"205","Eudyptes_chrysocome","F",1334.5,48,"Eudyptes_chrysocome","Bird","Bird(notRaptor)","No","Yes","No","Others"
"206","Eudyptes_chrysocome","M",1244.2,52,"Eudyptes_chrysocome","Bird","Bird(notRaptor)","No","Yes","No","Others"
"207","Eudyptes_chrysocome","Not mentioned",1559,121,"Eudyptes_chrysocome","Bird","Bird(notRaptor)","No","Yes","No","Others"
"208","Eulemur _coronatus","F",1346.6,86,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"209","Eulemur _coronatus","M",1345.3,49,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"210","Eulemur _coronatus","Not mentioned",1512.1,87,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"211","Eulemur _coronatus2","F",1292,58,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"212","Eulemur _coronatus2","M",1306,67,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"213","Eulemur _coronatus2","Not mentioned",1312.9,51,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"214","Euphractus _sexcinctus","F",1437.3,67,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No","Others"
"215","Euphractus _sexcinctus","M",1421.9,58,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No","Others"
"216","Euphractus _sexcinctus","Not mentioned",1475.9,72,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No","Others"
"217","Evarcha_arcuata","F",1772.2,209,"Evarcha_arcuata","Spider","Spider","No","Yes","No","Spider"
"218","Evarcha_arcuata","M",1635.8,165,"Evarcha_arcuata","Spider","Spider","No","Yes","No","Spider"
"219","Evarcha_arcuata","Not mentioned",1504.2,98,"Evarcha_arcuata","Spider","Spider","No","Yes","No","Spider"
"220","Felis_catus","F",1343.3,90,"Felis_catus","Mammal","Felidae","No","Yes","No","Felidae"
"221","Felis_catus","M",1511.1,66,"Felis_catus","Mammal","Felidae","No","Yes","No","Felidae"
"222","Felis_catus","Not mentioned",1339.6,42,"Felis_catus","Mammal","Felidae","No","Yes","No","Felidae"
"223","Felis_silvestris","F",1114.4,8,"Felis_silvestris_","Mammal","Felidae","No","No","No","Felidae"
"224","Felis_silvestris","M",1257.7,10,"Felis_silvestris_","Mammal","Felidae","No","No","No","Felidae"
"225","Felis_silvestris","Not mentioned",1077.2,1,"Felis_silvestris_","Mammal","Felidae","No","No","No","Felidae"
"226","Geronticus_eremita","F",1560.7,135,"Geronticus_eremita","Bird","Bird(notRaptor)","No","Yes","No","Others"
"227","Geronticus_eremita","M",1500.5,132,"Geronticus_eremita","Bird","Bird(notRaptor)","No","Yes","No","Others"
"228","Geronticus_eremita","Not mentioned",1692.9,192,"Geronticus_eremita","Bird","Bird(notRaptor)","No","Yes","No","Others"
"229","Giraffa_camelopardalis_reticulata","F",1126.7,7,"Giraffa_camelopardalis_reticulata","Mammal","Ungulate","No","No","No","Others"
"230","Giraffa_camelopardalis_reticulata","M",1267.6,41,"Giraffa_camelopardalis_reticulata","Mammal","Ungulate","No","No","No","Others"
