"Name","Sex","EloScore","EloRank"
"Giraffa_camelopardalis_reticulata","Not mentioned",1381.1,55
"Gorilla_Gorilla_Beringei","Not mentioned",1618.7,161
"Gorilla_gorilla_gorilla","Not mentioned",1486.7,99
"Gulo_gulo","Not mentioned",1574.1,145
"Gulo_gulo2","Not mentioned",1456.3,89
"Gymnogyps_californianus","Not mentioned",1543.5,135
"Gypaetus_barbatus","Not mentioned",1413.2,63
"Gypaetus_barbatus2","Not mentioned",1644.5,176
"Gyps_rueppelli","Not mentioned",1574.8,141
"Haematopus_ater","Not mentioned",1424.4,80
"Harpia_Harpyja","Not mentioned",1329.5,38
"Helarctos_malayanus","Not mentioned",1674.7,183
"Hemicentetes_semispinosus","Not mentioned",1468.6,101
"Heterocephalus_glaber","Not mentioned",1576,143
"Hippopotamus_amphibius","Not mentioned",1634,159
"Hyaena_hyaena","Not mentioned",1620.2,158
"Hyles_euphorbiae","Not mentioned",1377.8,67
"Hylobates_agilis","Not mentioned",1382.1,60
"Hypsignathus_monstrosus","Not mentioned",1554.5,140
"Iguana_iguana","Not mentioned",1423.2,69
"Iguana_iguana2","Not mentioned",1470.5,105
"Incilius_alvarius","Not mentioned",1337.9,47
"Incilius_alvarius2","Not mentioned",1512.1,132
"Intellagama_lesueurii","Not mentioned",1558.2,148
"Laticauda_laticaudata","Not mentioned",1680,187
"Laticauda_saintgironsi","Not mentioned",1621.2,157
"Lemur_catta","Not mentioned",1312.8,34
"Lemur_catta2","Not mentioned",1473.2,112
"Leopardus_wiedii","Not mentioned",1575.7,134
"Leptailurus_serval","Not mentioned",1408.6,61
"Leptoptilos_crumenifer","Not mentioned",1480.5,93
"Libellula_quadrimaculata","Not mentioned",1605.1,142
"Litoria_infrafrenata","Not mentioned",1450.5,71
"Loris_tardigradus","Not mentioned",1276,15
"Loxodonta_africana","Not mentioned",1527.4,131
"Lycaon_pictus","Not mentioned",1665.3,177
"Lycaon_pictus2","Not mentioned",1702.8,190
"Lynx_rufus","Not mentioned",1720.5,206
"Lynx_rufus2","Not mentioned",1579.4,144
"Macaca_fuscata","Not mentioned",1558.6,123
"Macaca_silenus","Not mentioned",1478.4,111
"Macronectes_halli","Not mentioned",1606.2,147
"Macropus_rufogriseus","Not mentioned",1400.7,75
"Malayopython_reticulatus","Not mentioned",1750.2,211
"Malpolon_monspessulanus","Not mentioned",1616.5,175
"Mandrillus_sphinx","Not mentioned",1806.4,216
"Mandrillus_sphinx2","Not mentioned",1554.8,116
"Miopithecus_ogouensis","Not mentioned",1471.1,90
"Morelia_spilota","Not mentioned",1627.9,186
"Mungos_mungo","Not mentioned",1565.5,149
"Muscardinus_avellanarius","Not mentioned",1226.3,16
"Mygale","Not mentioned",1715.6,212
"Myocastor_coypus","Not mentioned",1191.5,13
"Naja_naja","Not mentioned",1722.4,202
"Nasua_narica","Not mentioned",1643.6,174
"Nasua_nasua","Not mentioned",1404.1,86
"Necrosyrtes_monachus","Not mentioned",1385.4,58
"Neofelis_nebulosa","Not mentioned",1628.6,155
"Nestor_meridionalis","Not mentioned",1358.6,48
"Notechis_scutatus","Not mentioned",1758.2,209
"Numida_meleagris","Not mentioned",1576.6,154
"Nyctereutes_procyonoides","Not mentioned",1458.8,92
"Odonata","Not mentioned",1458.3,120
"Odonata2","Not mentioned",1358.6,53
"Oryctolagus_cuniculus","Not mentioned",1152.6,5
"Oryctolagus_cuniculus2","Not mentioned",1234.3,20
"Otocolobus_manul","Not mentioned",1443.1,102
"Pamphagidae","Not mentioned",1396.5,65
"Pan_paniscus","Not mentioned",1462.9,103
"Pan_paniscus2","Not mentioned",1690.6,179
"Pan_paniscus3","Not mentioned",1484.3,117
"Pan_paniscus4","Not mentioned",1424.2,79
"Pan_troglodytes","Not mentioned",1605.4,153
"Pan_troglodytes2","Not mentioned",1510.9,95
"Panthera_leo","Not mentioned",1624,171
"Panthera_leo2","Not mentioned",1728,200
"Panthera_leo3","Not mentioned",1616.9,160
"Panthera_onca","Not mentioned",1750.8,208
"Panthera_onca_2","Not mentioned",1766.9,215
"Panthera_onca3","Not mentioned",1827.2,219
"Panthera_pardus","Not mentioned",1766.3,213
"Panthera_pardus_3","Not mentioned",1608.9,173
"Panthera_pardus2","Not mentioned",1624.3,165
"Panthera_tigris2","Not mentioned",1663.4,189
"Panthera_uncia","Not mentioned",1661.4,182
"Papillon","Not mentioned",1477.1,73
"Papio_hamadryas","Not mentioned",1614.2,167
"Pardofelis_temminckii","Not mentioned",1536.3,129
"Petroica_macrocephala","Not mentioned",1190.2,8
"Phacochoerus_africanus","Not mentioned",1733.4,210
"Phascolarctos_cinereus","Not mentioned",1277.4,12
"Phascolarctos_cinereus2","Not mentioned",1165,4
"Pholcus_phalangioides","Not mentioned",1808.1,217
"Pithecia pithecia","Not mentioned",1603.4,150
"Pithecia pithecia2","Not mentioned",1507.5,100
"Plathyrrhinus_fusciventris","Not mentioned",1385.3,70
"Podarcis_muralis","Not mentioned",1510,107
"Pogona_vitticeps","Not mentioned",1527.7,137
"Porphyrio_hochstetteri","Not mentioned",1426.9,76
"Procyon_lotor","Not mentioned",1317.1,35
"Propithecus_coquereli","Not mentioned",1328.3,49
"Propithecus_verreauxi","Not mentioned",1314.6,33
"Psittacus_erithacus","Not mentioned",1459.6,88
"Pteropus_conspicillatus","Not mentioned",1422.6,97
"Puma_concolor","Not mentioned",1746.4,205
"Python_bivittatus","Not mentioned",1737.1,199
"Python_regius","Not mentioned",1659.9,180
"Rattus_norvegicus","Not mentioned",1316.6,31
"Rhinopithecus_roxellana","Not mentioned",1390.9,36
"Rhyticeros_cassidix","Not mentioned",1344.4,57
"Romalea_microptera","Not mentioned",1449.9,82
"Saiga_tatarica","Not mentioned",1478.4,125
