"name","variable","value"
"Mygale","High school diploma",192
"Myocastor_coypus","High school diploma",41
"Naja_naja","High school diploma",208
"Nasua_narica","High school diploma",113
"Nasua_nasua","High school diploma",91
"Necrosyrtes_monachus","High school diploma",81
"Neofelis_nebulosa","High school diploma",131
"Nestor_meridionalis","High school diploma",40
"Notechis_scutatus","High school diploma",198
"Numida_meleagris","High school diploma",104
"Nyctereutes_procyonoides","High school diploma",86
"Odonata","High school diploma",111
"Odonata2","High school diploma",108
"Oryctolagus_cuniculus","High school diploma",5
"Oryctolagus_cuniculus2","High school diploma",1
"Otocolobus_manul","High school diploma",145
"Pamphagidae","High school diploma",143
"Pan_paniscus","High school diploma",42
"Pan_paniscus2","High school diploma",71
"Pan_paniscus3","High school diploma",85
"Pan_paniscus4","High school diploma",25
"Pan_troglodytes","High school diploma",97
"Pan_troglodytes2","High school diploma",24
"Panthera_leo","High school diploma",200
"Panthera_leo2","High school diploma",153
"Panthera_leo3","High school diploma",173
"Panthera_onca","High school diploma",199
"Panthera_onca_2","High school diploma",185
"Panthera_onca3","High school diploma",220
"Panthera_pardus","High school diploma",182
"Panthera_pardus_3","High school diploma",213
"Panthera_pardus2","High school diploma",172
"Panthera_tigris2","High school diploma",191
"Panthera_uncia","High school diploma",179
"Papillon","High school diploma",151
"Papio_hamadryas","High school diploma",166
"Pardofelis_temminckii","High school diploma",115
"Petroica_macrocephala","High school diploma",4
"Phacochoerus_africanus","High school diploma",207
"Phascolarctos_cinereus","High school diploma",2
"Phascolarctos_cinereus2","High school diploma",3
"Pholcus_phalangioides","High school diploma",218
"Pithecia pithecia","High school diploma",124
"Pithecia pithecia2","High school diploma",142
"Plathyrrhinus_fusciventris","High school diploma",136
"Podarcis_muralis","High school diploma",164
"Pogona_vitticeps","High school diploma",70
"Porphyrio_hochstetteri","High school diploma",128
"Procyon_lotor","High school diploma",54
"Propithecus_coquereli","High school diploma",52
"Propithecus_verreauxi","High school diploma",72
"Psittacus_erithacus","High school diploma",11
"Pteropus_conspicillatus","High school diploma",45
"Puma_concolor","High school diploma",169
"Python_bivittatus","High school diploma",155
"Python_regius","High school diploma",188
"Rattus_norvegicus","High school diploma",55
"Rhinopithecus_roxellana","High school diploma",10
"Rhyticeros_cassidix","High school diploma",96
"Romalea_microptera","High school diploma",193
"Saiga_tatarica","High school diploma",90
"Sarcophilus_harrisii","High school diploma",107
"Spalax","High school diploma",163
"Spheniscus_humboldti","High school diploma",23
"Stephanoaetus_coronatus","High school diploma",120
"Strophurus","High school diploma",109
"Struthio_camelus","High school diploma",176
"Sula_nebouxii","High school diploma",56
"Sula_sula","High school diploma",98
"Suricata_suricatta","High school diploma",49
"Sus_scrofa","High school diploma",87
"Tapirus_indicus","High school diploma",33
"Taricha_torosa","High school diploma",106
"Tauraco_leucotis","High school diploma",36
"Testudo_hermanni","High school diploma",13
"Thalassarche_cauta","High school diploma",118
"Theropithecus_gelada","High school diploma",216
"Thomisus_onustus","High school diploma",178
"Tockus_flavirostris","High school diploma",89
"Trichosurus_vulpecula","High school diploma",92
"Ursus_arctos_horribilis","High school diploma",174
"Ursus_maritimus","High school diploma",162
"Ursus_thibetanus","High school diploma",165
"Varecia_rubra","High school diploma",76
"Varecia_variegata","High school diploma",83
"Vespula_germanica","High school diploma",211
"Vicugna_pacos","High school diploma",69
"Vicugna_pacos2","High school diploma",74
"Vicugna_vicugna","High school diploma",12
"Vipera_ammodytes","High school diploma",177
"Vipera_aspis","High school diploma",210
"Vulpes_zerda","High school diploma",65
"Zamenis_longissimus","High school diploma",204
"Zoropsis_spinimana","High school diploma",202
