"name","variable","value"
"Mandrillus_sphinx2","High school diploma",1472.3
"Miopithecus_ogouensis","High school diploma",1322.8
"Morelia_spilota","High school diploma",1694.1
"Mungos_mungo","High school diploma",1700.7
"Muscardinus_avellanarius","High school diploma",1084.4
"Mygale","High school diploma",1779.1
"Myocastor_coypus","High school diploma",1302.6
"Naja_naja","High school diploma",1759.9
"Nasua_narica","High school diploma",1597.6
"Nasua_nasua","High school diploma",1434.3
"Necrosyrtes_monachus","High school diploma",1453.2
"Neofelis_nebulosa","High school diploma",1542.4
"Nestor_meridionalis","High school diploma",1297.5
"Notechis_scutatus","High school diploma",1769.8
"Numida_meleagris","High school diploma",1481
"Nyctereutes_procyonoides","High school diploma",1435.8
"Odonata","High school diploma",1531.8
"Odonata2","High school diploma",1486.4
"Oryctolagus_cuniculus","High school diploma",1059.1
"Oryctolagus_cuniculus2","High school diploma",952.4
"Otocolobus_manul","High school diploma",1562.9
"Pamphagidae","High school diploma",1588.1
"Pan_paniscus","High school diploma",1404.2
"Pan_paniscus2","High school diploma",1526.7
"Pan_paniscus3","High school diploma",1374.2
"Pan_paniscus4","High school diploma",1279.1
"Pan_troglodytes","High school diploma",1429.2
"Pan_troglodytes2","High school diploma",1265.1
"Panthera_leo","High school diploma",1731.2
"Panthera_leo2","High school diploma",1586.4
"Panthera_leo3","High school diploma",1606.5
"Panthera_onca","High school diploma",1805.2
"Panthera_onca_2","High school diploma",1637.4
"Panthera_onca3","High school diploma",1958.9
"Panthera_pardus","High school diploma",1713
"Panthera_pardus_3","High school diploma",1793.1
"Panthera_pardus2","High school diploma",1655.2
"Panthera_tigris2","High school diploma",1730
"Panthera_uncia","High school diploma",1664.2
"Papillon","High school diploma",1586.5
"Papio_hamadryas","High school diploma",1668
"Pardofelis_temminckii","High school diploma",1544.3
"Petroica_macrocephala","High school diploma",1070.8
"Phacochoerus_africanus","High school diploma",1796.3
"Phascolarctos_cinereus","High school diploma",1053
"Phascolarctos_cinereus2","High school diploma",1065.2
"Pholcus_phalangioides","High school diploma",1834.5
"Pithecia pithecia","High school diploma",1513.2
"Pithecia pithecia2","High school diploma",1549.2
"Plathyrrhinus_fusciventris","High school diploma",1573.7
"Podarcis_muralis","High school diploma",1679.2
"Pogona_vitticeps","High school diploma",1414.2
"Porphyrio_hochstetteri","High school diploma",1580.5
"Procyon_lotor","High school diploma",1395.1
"Propithecus_coquereli","High school diploma",1335.6
"Propithecus_verreauxi","High school diploma",1419.5
"Psittacus_erithacus","High school diploma",1171.1
"Pteropus_conspicillatus","High school diploma",1402.3
"Puma_concolor","High school diploma",1684.6
"Python_bivittatus","High school diploma",1631.5
"Python_regius","High school diploma",1717.2
"Rattus_norvegicus","High school diploma",1379.7
"Rhinopithecus_roxellana","High school diploma",1185.1
"Rhyticeros_cassidix","High school diploma",1500.6
"Romalea_microptera","High school diploma",1715.2
"Saiga_tatarica","High school diploma",1411.3
"Sarcophilus_harrisii","High school diploma",1478.2
"Spalax","High school diploma",1622
"Spheniscus_humboldti","High school diploma",1242.7
"Stephanoaetus_coronatus","High school diploma",1476.9
"Strophurus","High school diploma",1547
"Struthio_camelus","High school diploma",1662.6
"Sula_nebouxii","High school diploma",1385.6
"Sula_sula","High school diploma",1440
"Suricata_suricatta","High school diploma",1277.6
"Sus_scrofa","High school diploma",1457.3
"Tapirus_indicus","High school diploma",1307.4
"Taricha_torosa","High school diploma",1504.6
"Tauraco_leucotis","High school diploma",1312.5
"Testudo_hermanni","High school diploma",1151.8
"Thalassarche_cauta","High school diploma",1513.4
"Theropithecus_gelada","High school diploma",1877.8
"Thomisus_onustus","High school diploma",1664.7
"Tockus_flavirostris","High school diploma",1411.9
"Trichosurus_vulpecula","High school diploma",1429.2
"Ursus_arctos_horribilis","High school diploma",1742.3
"Ursus_maritimus","High school diploma",1612.8
"Ursus_thibetanus","High school diploma",1650.5
"Varecia_rubra","High school diploma",1387.6
"Varecia_variegata","High school diploma",1415.4
"Vespula_germanica","High school diploma",1810.5
"Vicugna_pacos","High school diploma",1388.8
"Vicugna_pacos2","High school diploma",1372.8
"Vicugna_vicugna","High school diploma",1202.2
"Vipera_ammodytes","High school diploma",1674.3
"Vipera_aspis","High school diploma",1784
"Vulpes_zerda","High school diploma",1359.2
"Zamenis_longissimus","High school diploma",1835.4
"Zoropsis_spinimana","High school diploma",1805.9
"Acinonyx_jubatus","Kindergarten + Primary school",1376.2
"Acinonyx_jubatus2","Kindergarten + Primary school",1610
"Acryllium_vulturinum","Kindergarten + Primary school",1521.8
"Aepyceros_melampus","Kindergarten + Primary school",1463.7
"Aepyceros_melampus2","Kindergarten + Primary school",1312.8
"Agalychnis_callidryas","Kindergarten + Primary school",1394.6
"Ailuropoda_melanoleuca","Kindergarten + Primary school",1288.7
"Ailurops_ursinus","Kindergarten + Primary school",1420.4
"Ailurus_fulgens","Kindergarten + Primary school",1341.4
"Alligator_mississippiensis","Kindergarten + Primary school",1576.9
"Amblyrhynchus_cristatus","Kindergarten + Primary school",1601.4
"Aonyx_cinereus","Kindergarten + Primary school",1319.1
"Aonyx_cinereus2","Kindergarten + Primary school",1409.2
"Aquila_chrysaetos","Kindergarten + Primary school",1552.5
"Ara_ararauna","Kindergarten + Primary school",1405.4
"Ara_chloropterus","Kindergarten + Primary school",1451.9
"Arctocephalus forsteri","Kindergarten + Primary school",1329.5
"Arctocephalus_forsteri2","Kindergarten + Primary school",1516.7
"Artibeus_planirostris","Kindergarten + Primary school",1502
"Asio_flammeus","Kindergarten + Primary school",NA
"Ateles_hybridus","Kindergarten + Primary school",1591.7
"Ateles_paniscus","Kindergarten + Primary school",1564.6
"Athene_noctua","Kindergarten + Primary school",1325.1
"Athene_noctua2","Kindergarten + Primary school",1455.7
"Athene_noctua3","Kindergarten + Primary school",1530.6
"Balaeniceps_rex","Kindergarten + Primary school",1474.9
"Bison_bonasus","Kindergarten + Primary school",1634.3
"Bison_bonasus2","Kindergarten + Primary school",1464
"Boa_constrictor","Kindergarten + Primary school",1624.1
"Bubo_bubo","Kindergarten + Primary school",1558.7
"Bubo_bubo2","Kindergarten + Primary school",1432.5
"Bubo_scandiacus","Kindergarten + Primary school",1505.1
"Bufonidae","Kindergarten + Primary school",1672.5
"Buprestidae","Kindergarten + Primary school",1530.6
"Buteo_galapagoensis","Kindergarten + Primary school",1449.7
"Cairina_moschata","Kindergarten + Primary school",1508.5
"Calliphora_vomitoria","Kindergarten + Primary school",1559.3
"Callithrix_argentata","Kindergarten + Primary school",1550.8
"Callithrix_penicillata","Kindergarten + Primary school",1446.2
"Calloselasma rhodostoma","Kindergarten + Primary school",1648.4
"Canis_lupus","Kindergarten + Primary school",1334.5
"Canis_lupus_familiaris","Kindergarten + Primary school",1446.3
"Canis_lupus_familiaris2","Kindergarten + Primary school",1491.2
"Carlito_syrichta","Kindergarten + Primary school",1374.3
"Centurio_senex","Kindergarten + Primary school",1768.8
"Cerdocyon_thous","Kindergarten + Primary school",1441.6
"Chelonoidis_porteri","Kindergarten + Primary school",1401.5
"Choloepus_didactylus","Kindergarten + Primary school",1513.5
"Choloepus_didactylus2","Kindergarten + Primary school",1564.6
"Choloepus_didactylus3","Kindergarten + Primary school",1357.6
"Chroicocephalus_scopulinus","Kindergarten + Primary school",1507
"Columba_livia","Kindergarten + Primary school",1428.9
"Conolophus_pallidus","Kindergarten + Primary school",1536.5
"Corvus","Kindergarten + Primary school",1456.3
"Corvus2","Kindergarten + Primary school",1458.1
"Crocodylus_porosus","Kindergarten + Primary school",1532.6
"Crocuta_crocuta","Kindergarten + Primary school",1571
"Crotalus_atrox","Kindergarten + Primary school",1546.8
"Crotalus2","Kindergarten + Primary school",1399
"Cryptoprocto _ferox","Kindergarten + Primary school",1421.1
"Cynictis_penicillata","Kindergarten + Primary school",1451.2
"Dasypus_novemcinctus","Kindergarten + Primary school",1472.1
"Daubentonia_madagascariensis","Kindergarten + Primary school",1508.5
"Dendroaspis_angusticeps","Kindergarten + Primary school",1714.4
"Desmodus_rotondus","Kindergarten + Primary school",1400.8
"Didelphis_virginiana","Kindergarten + Primary school",1473.8
"Equus_caballus","Kindergarten + Primary school",1391.7
"Eudyptes chrysolophus","Kindergarten + Primary school",1357.6
"Eudyptes_chrysocome","Kindergarten + Primary school",1532.1
"Eulemur _coronatus","Kindergarten + Primary school",1546.5
"Eulemur _coronatus2","Kindergarten + Primary school",1280.5
"Euphractus _sexcinctus","Kindergarten + Primary school",1465.9
"Evarcha_arcuata","Kindergarten + Primary school",1529.6
"Felis_catus","Kindergarten + Primary school",1500.1
"Felis_silvestris","Kindergarten + Primary school",1414.4
"Geronticus_eremita","Kindergarten + Primary school",1539.6
"Giraffa_camelopardalis_reticulata","Kindergarten + Primary school",1478.1
"Gorilla_Gorilla_Beringei","Kindergarten + Primary school",1536.7
"Gorilla_gorilla_gorilla","Kindergarten + Primary school",1585.6
"Gulo_gulo","Kindergarten + Primary school",1495.6
"Gulo_gulo2","Kindergarten + Primary school",1515.3
"Gymnogyps_californianus","Kindergarten + Primary school",1623.7
"Gypaetus_barbatus","Kindergarten + Primary school",1531.4
"Gypaetus_barbatus2","Kindergarten + Primary school",1470.2
"Gyps_rueppelli","Kindergarten + Primary school",1467.8
"Haematopus_ater","Kindergarten + Primary school",1449
"Harpia_Harpyja","Kindergarten + Primary school",1553.2
"Helarctos_malayanus","Kindergarten + Primary school",1484.6
"Hemicentetes_semispinosus","Kindergarten + Primary school",1497
"Heterocephalus_glaber","Kindergarten + Primary school",1544.7
"Hippopotamus_amphibius","Kindergarten + Primary school",1514.4
"Hyaena_hyaena","Kindergarten + Primary school",1656
"Hyles_euphorbiae","Kindergarten + Primary school",1459.7
"Hylobates_agilis","Kindergarten + Primary school",1353.8
"Hypsignathus_monstrosus","Kindergarten + Primary school",1573.1
"Iguana_iguana","Kindergarten + Primary school",1549.4
"Iguana_iguana2","Kindergarten + Primary school",1594.2
"Incilius_alvarius","Kindergarten + Primary school",1536.8
"Incilius_alvarius2","Kindergarten + Primary school",1468.3
"Intellagama_lesueurii","Kindergarten + Primary school",1406.8
"Laticauda_laticaudata","Kindergarten + Primary school",1582.8
"Laticauda_saintgironsi","Kindergarten + Primary school",1582.6
"Lemur_catta","Kindergarten + Primary school",1403
"Lemur_catta2","Kindergarten + Primary school",1381.5
"Leopardus_wiedii","Kindergarten + Primary school",1398.7
"Leptailurus_serval","Kindergarten + Primary school",1475.9
"Leptoptilos_crumenifer","Kindergarten + Primary school",1537.3
"Libellula_quadrimaculata","Kindergarten + Primary school",1608.4
"Litoria_infrafrenata","Kindergarten + Primary school",1338.8
"Loris_tardigradus","Kindergarten + Primary school",1335.4
"Loxodonta_africana","Kindergarten + Primary school",1471.5
"Lycaon_pictus","Kindergarten + Primary school",1521.4
"Lycaon_pictus2","Kindergarten + Primary school",1492.7
"Lynx_rufus","Kindergarten + Primary school",1543.6
"Lynx_rufus2","Kindergarten + Primary school",1541.9
"Macaca_fuscata","Kindergarten + Primary school",1504.2
"Macaca_silenus","Kindergarten + Primary school",1456.3
"Macronectes_halli","Kindergarten + Primary school",1759.7
"Macropus_rufogriseus","Kindergarten + Primary school",1415.9
"Malayopython_reticulatus","Kindergarten + Primary school",1436.6
"Malpolon_monspessulanus","Kindergarten + Primary school",1437.1
"Mandrillus_sphinx","Kindergarten + Primary school",1510.6
"Mandrillus_sphinx2","Kindergarten + Primary school",1562.8
