"name","High school + Middle school","High school diploma","Kindergarten + Primary school","Master's degree","One/two/three-year technical/university degree","Other","PhD and more","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Mygale",1848.8,1779.1,1727.9,1830.4,1720.7,1622,1641.3,"Mygale","Spider","Spider","No","Yes","No"
"Myocastor_coypus",1330.5,1302.6,1572.9,1301.6,1235.3,1462.7,1135.3,"Myocastor_coypus","Mammal","Rodent","No","No","No"
"Naja_naja",1693.5,1759.9,1701.6,1895.6,1952.9,1791.5,1983.8,"Naja_naja","Squamata","Snake","No","Yes","Yes"
"Nasua_narica",1353.8,1597.6,1550.9,1434.6,1510.4,1423.3,1504.1,"Nasua_narica","Mammal","Procyonide","No","No","No"
"Nasua_nasua",1428.3,1434.3,1415,1340.5,1281.9,1451.2,1366.1,"Nasua_nasua","Mammal","Procyonide","No","No","No"
"Necrosyrtes_monachus",1670.2,1453.2,1391.8,1595.1,1500.3,1470.4,1506.1,"Necrosyrtes_monachus","Bird","Raptor","No","No","No"
"Neofelis_nebulosa",1518.3,1542.4,1526.3,1694.2,1584.4,1664.9,1712.6,"Neofelis_nebulosa","Mammal","Felidae","Yes","No","Yes"
"Nestor_meridionalis",1490.1,1297.5,1370.8,1318.8,1436.5,1529.5,1349.5,"Nestor_meridionalis","Bird","Bird (not Raptor)","No","No","No"
"Notechis_scutatus",1610.5,1769.8,1685.2,1737.6,1778.7,1795.8,1845.8,"Notechis_scutatus","Squamata","Snake","No","Yes","Yes"
"Numida_meleagris",1629.6,1481,1458.3,1451.2,1543.7,1540.1,1468.7,"Numida_meleagris","Bird","Bird (not Raptor)","No","No","No"
"Nyctereutes_procyonoides",1398.2,1435.8,1485.5,1383.8,1392.1,1506.6,1456.8,"Nyctereutes_procyonoides","Mammal","Canidae","No","Yes","No"
"Odonata",1512.2,1531.8,1579.5,1571.2,1535.4,1568.5,1451.2,"Odonata","Insect","Odonata","No","Yes","No"
"Odonata2",1536.8,1486.4,1615.4,1538.1,1524.7,1508.1,1420.7,"Odonata","Insect","Odonata","No","Yes","No"
"Oryctolagus_cuniculus",1169.9,1059.1,1379.7,1097.4,1159.3,1224.8,1059.3,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No"
"Oryctolagus_cuniculus2",979.2,952.4,1407.2,841.1,947.5,1094.3,973.9,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No"
"Otocolobus_manul",1410.8,1562.9,1549.3,1423.4,1506,1500.6,1370.9,"Otocolobus_manul","Mammal","Felidae","No","Yes","No"
"Pamphagidae",1423.2,1588.1,1599.7,1510.5,1491.9,1361.9,1500.5,"Pamphagidae","Insect","Orthoptere","No","No","No"
"Pan_paniscus",1504,1404.2,1650.2,1491.1,1416.6,1543.1,1444.3,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Pan_paniscus2",1461.4,1526.7,1434,1503.2,1441.1,1435.7,1438.9,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Pan_paniscus3",1473.5,1374.2,1698.1,1361.8,1441.6,1386.4,1552,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Pan_paniscus4",1399.4,1279.1,1595.7,1309.2,1424.6,1289,1492.9,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Pan_troglodytes",1421.5,1429.2,1566.9,1497.8,1633,1472,1571.4,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes"
"Pan_troglodytes2",1445,1265.1,1454.3,1313.1,1370.7,1607.8,1340.3,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes"
"Panthera_leo",1659,1731.2,1413.9,1680.9,1767,1768.4,1828.3,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Panthera_leo2",1563.1,1586.4,1571.8,1690.2,1727.9,1644.1,1839,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Panthera_leo3",1763,1606.5,1505.2,1748.1,1752.9,1828.1,1789.6,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Panthera_onca",1679.5,1805.2,1406.6,1714.2,1709.8,1718,1802.4,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Panthera_onca_2",1597.5,1637.4,1392.5,1713.8,1711,1587,1774.5,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Panthera_onca3",1651.4,1958.9,1586.9,1727.4,1749.8,1613.8,1895.8,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
