;Name_2;Species;Group;Subgroup;Predator of primates;Predator;Dangerous
166;Phacochoerus_africanus ;Phacochoerus_africanus;Mammal;Ungulate;No;No;No
167;Phascolarctos_cinereus ;Phascolarctos_cinereus;Mammal;Marsupial;No;No;No
168;Phascolarctos_cinereus2 ;Phascolarctos_cinereus;Mammal;Marsupial;No;No;No
169;Pholcus_phalangioides ;Pholcus_phalangioides;Spider;Spider;No;Yes;No
170;Pithecia pithecia ;Pithecia_pithecia;Mammal;Primate;No;No;No
171;Pithecia pithecia2 ;Pithecia_pithecia;Mammal;Primate;No;No;No
172;Plathyrrhinus_fusciventris ;Platyrrhinus_fusciventris;Mammal;Chiroptera;No;No;No
173;Podarcis_muralis ;Podarcis_muralis;Squamata;Lizard;No;Yes;No
174;Pogona_vitticeps ;Pogona_vitticeps;Squamata;Lizard;No;Yes;No
175;Porphyrio_hochstetteri ;Porphyrio_hochstetteri;Bird;Bird (not Raptor);No;No;No
176;Procyon_lotor ;Procyon_lotor;Mammal;Procyonide;No;Yes;No
177;Propithecus_coquereli ;Propithecus_coquereli;Mammal;Primate;No;No;No
178;Propithecus_verreauxi ;Propithecus_verreauxi;Mammal;Primate;No;No;No
179;Psittacus_erithacus ;Psittacus_erithacus;Bird;Bird (not Raptor);No;No;No
180;Pteropus_conspicillatus ;Pteropus_conspicillatus;Mammal;Chiroptera;No;No;No
181;Puma_concolor ;Puma_concolor;Mammal;Felidae;Yes;No;Yes
182;Python_bivittatus ;Python_bivittatus;Squamata;Snake;Yes;Yes;Yes
183;Python_regius ;Python_regius;Squamata;Snake;No;Yes;No
184;Rattus_norvegicus ;Rattus_norvegicus;Mammal;Rodent;No;No;No
185;Rhinopithecus_roxellana ;Rhinopithecus_roxellana;Mammal;Primate;No;No;No
186;Rhyticeros_cassidix ;Rhyticeros_cassidix;Bird;Bird (not Raptor);No;No;No
187;Romalea_microptera ;Romalea_microptera;Insect;Orthoptere;No;No;No
188;Saiga_tatarica ;Saiga_tatarica;Mammal;Ungulate;No;No;No
189;Sarcophilus_harrisii ;Sarcophilus_harrisii;Mammal;Marsupial;No;Yes;No
190;Spalax ;Spalax;Mammal;Rodent;No;No;No
191;Spheniscus_humboldti ;Spheniscus_humboldti;Bird;Bird (not Raptor);No;Yes;No
192;Stephanoaetus_coronatus ;Stephanoaetus_coronatus;Bird;Raptor;Yes;No;No
193;Strophurus ;Strophurus_;Squamata;Lizard;No;Yes;No
194;Struthio_camelus ;Struthio_camelus;Bird;Bird (not Raptor);No;No;No
195;Sula_nebouxii ;Sula_nebouxii;Bird;Bird (not Raptor);No;Yes;No
