"","Name","Age","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"180","Rattus_norvegicus","+ 30 years old",1384,90,"Rattus_norvegicus","Mammal","Rodent","No","No","No","Others"
"181","Taricha_torosa","- 30 years old",1489.8,91,"Taricha_torosa","Squamata","Amphibia","No","Yes","No","Others"
"182","Cynictis_penicillata","+ 30 years old",1452.5,91,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No","Others"
"183","Pan_paniscus","- 30 years old",1438.5,92,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"184","Leopardus_wiedii","+ 30 years old",1452.1,92,"Leopardus_wiedii","Mammal","Felidae","No","No","No","Felidae"
"185","Otocolobus_manul","- 30 years old",1502,93,"Otocolobus_manul","Mammal","Felidae","No","Yes","No","Felidae"
"186","Pan_paniscus","+ 30 years old",1428.9,93,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"187","Corvus","- 30 years old",1471.2,94,"Corvus","Bird","Bird (not Raptor)","No","No","No","Others"
"188","Porphyrio_hochstetteri","+ 30 years old",1414.1,94,"Porphyrio_hochstetteri","Bird","Bird (not Raptor)","No","No","No","Others"
"189","Didelphis_virginiana","- 30 years old",1555.9,95,"Didelphis_virginiana","Mammal","Marsupial","No","No","No","Others"
"190","Cairina_moschata","+ 30 years old",1489.2,95,"Cairina_moschata","Bird","Bird (not Raptor)","No","Yes","No","Others"
"191","Rhyticeros_cassidix","- 30 years old",1486.2,96,"Rhyticeros_cassidix","Bird","Bird (not Raptor)","No","No","No","Others"
"192","Cerdocyon_thous","+ 30 years old",1348.8,96,"Cerdocyon_thous","Mammal","Canidae","Yes","Yes","No","Canidae"
"193","Pardofelis_temminckii","- 30 years old",1533.7,97,"Pardofelis_temminckii","Mammal","Felidae","Yes","Yes","No","Felidae"
"194","Gypaetus_barbatus2","+ 30 years old",1521,97,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No","Raptor"
"195","Canis_lupus_familiaris","- 30 years old",1449.6,98,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"196","Strophurus","+ 30 years old",1495.3,98,"Strophurus_","Squamata","Lizard","No","Yes","No","Others"
"197","Incilius_alvarius","- 30 years old",1460.2,99,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No","Others"
"198","Incilius_alvarius","+ 30 years old",1441.6,99,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No","Others"
"199","Nasua_narica","- 30 years old",1426.9,100,"Nasua_narica","Mammal","Procyonide","No","No","No","Others"
"200","Nyctereutes_procyonoides","+ 30 years old",1383.7,100,"Nyctereutes_procyonoides","Mammal","Canidae","No","Yes","No","Canidae"
"201","Mungos_mungo","- 30 years old",1510.8,101,"Mungos_mungo","Mammal","Mongoose","No","Yes","No","Others"
"202","Thalassarche_cauta","+ 30 years old",1510,101,"Thalassarche_cauta","Bird","Bird (not Raptor)","No","No","No","Others"
"203","Aquila_chrysaetos","- 30 years old",1533.2,102,"Aquila_chrysaetos","Bird","Raptor","No","No","No","Raptor"
"204","Hemicentetes_semispinosus","+ 30 years old",1478.3,102,"Hemicentetes_semispinosus","Mammal","Tenrecidae","No","No","No","Others"
"205","Pan_paniscus2","- 30 years old",1504.3,103,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"206","Leptailurus_serval","+ 30 years old",1520.5,103,"Leptailurus_serval","Mammal","Felidae","No","Yes","No","Felidae"
"207","Libellula_quadrimaculata","- 30 years old",1518.7,104,"Libellula_quadrimaculata","Insect","Odonata","No","Yes","No","Others"
"208","Sula_nebouxii","+ 30 years old",1444.1,104,"Sula_nebouxii","Bird","Bird (not Raptor)","No","Yes","No","Others"
"209","Cryptoprocto _ferox","- 30 years old",1471.6,105,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No","Felidae"
"210","Otocolobus_manul","+ 30 years old",1491.2,105,"Otocolobus_manul","Mammal","Felidae","No","Yes","No","Felidae"
"211","Ateles_hybridus","- 30 years old",1617.6,106,"Ateles_hybridus","Mammal","Primate","No","No","No","Primate"
"212","Arctocephalus forsteri","+ 30 years old",1489.2,106,"Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No","Others"
"213","Leopardus_wiedii","- 30 years old",1430.3,107,"Leopardus_wiedii","Mammal","Felidae","No","No","No","Felidae"
"214","Buteo_galapagoensis","+ 30 years old",1524.8,107,"Buteo_galapagoensis","Bird","Raptor","No","Yes","No","Raptor"
"215","Porphyrio_hochstetteri","- 30 years old",1542.2,108,"Porphyrio_hochstetteri","Bird","Bird (not Raptor)","No","No","No","Others"
"216","Papillon","+ 30 years old",1477.1,108,"Papillon","Insect","Lepidoptera","No","No","No","Others"
"217","Calliphora_vomitoria","- 30 years old",1577,109,"Calliphora_vomitoria","Insect","Diptera","No","No","No","Others"
"218","Aquila_chrysaetos","+ 30 years old",1511.2,109,"Aquila_chrysaetos","Bird","Raptor","No","No","No","Raptor"
"219","Pamphagidae","- 30 years old",1480.9,110,"Pamphagidae","Insect","Orthoptere","No","No","No","Others"
