"Name","Age","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Saiga_tatarica","+ 30 years old",1456.2,113,"Saiga_tatarica","Mammal","Ungulate","No","No","No"
"Thalassarche_cauta","- 30 years old",1569.7,114,"Thalassarche_cauta","Bird","Bird (not Raptor)","No","No","No"
"Loxodonta_africana","+ 30 years old",1544.8,114,"Loxodonta_africana","Mammal","Ungulate","No","No","Yes"
"Pithecia pithecia2","- 30 years old",1513.7,115,"Pithecia_pithecia","Mammal","Primate","No","No","No"
"Acryllium_vulturinum","+ 30 years old",1480.8,115,"Acryllium_vulturinum","Bird","Bird (not Raptor)","No","No","No"
"Ursus_maritimus","- 30 years old",1579.5,116,"Ursus_maritimus","Mammal","Ursus","Yes","No","Yes"
"Spalax","+ 30 years old",1513.6,116,"Spalax","Mammal","Rodent","No","No","No"
"Buteo_galapagoensis","- 30 years old",1549.5,117,"Buteo_galapagoensis","Bird","Raptor","No","Yes","No"
"Gyps_rueppelli","+ 30 years old",1512.4,117,"Gyps_rueppelli","Bird","Raptor","No","No","No"
"Arctocephalus forsteri","- 30 years old",1439.8,118,"Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No"
"Gulo_gulo2","+ 30 years old",1617.2,118,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Saiga_tatarica","- 30 years old",1471.7,119,"Saiga_tatarica","Mammal","Ungulate","No","No","No"
"Mungos_mungo","+ 30 years old",1542.9,119,"Mungos_mungo","Mammal","Mongoose","No","Yes","No"
"Papillon","- 30 years old",1581.3,120,"Papillon","Insect","Lepidoptera","No","No","No"
"Stephanoaetus_coronatus","+ 30 years old",1487.8,120,"Stephanoaetus_coronatus","Bird","Raptor","Yes","No","No"
"Cairina_moschata","- 30 years old",1517.3,121,"Cairina_moschata","Bird","Bird (not Raptor)","No","Yes","No"
