"name","variable","value"
"Hippopotamus_amphibius","+ 30 years old",1678.3
"Hyaena_hyaena","+ 30 years old",1790.2
"Hyles_euphorbiae","+ 30 years old",1554.6
"Hylobates_agilis","+ 30 years old",1361.9
"Hypsignathus_monstrosus","+ 30 years old",1572.2
"Iguana_iguana","+ 30 years old",1688.2
"Iguana_iguana2","+ 30 years old",1536.4
"Incilius_alvarius","+ 30 years old",1441.6
"Incilius_alvarius2","+ 30 years old",1431.2
"Intellagama_lesueurii","+ 30 years old",1556.8
"Laticauda_laticaudata","+ 30 years old",1872.2
"Laticauda_saintgironsi","+ 30 years old",1833.5
"Lemur_catta","+ 30 years old",1320.7
"Lemur_catta2","+ 30 years old",1329.1
"Leopardus_wiedii","+ 30 years old",1452.1
"Leptailurus_serval","+ 30 years old",1520.5
"Leptoptilos_crumenifer","+ 30 years old",1528.2
"Libellula_quadrimaculata","+ 30 years old",1589.9
"Litoria_infrafrenata","+ 30 years old",1348.1
"Loris_tardigradus","+ 30 years old",1182.2
"Loxodonta_africana","+ 30 years old",1544.8
"Lycaon_pictus","+ 30 years old",1700.8
"Lycaon_pictus2","+ 30 years old",1697
"Lynx_rufus","+ 30 years old",1653.4
"Lynx_rufus2","+ 30 years old",1606.5
"Macaca_fuscata","+ 30 years old",1553.4
"Macaca_silenus","+ 30 years old",1524.8
"Macronectes_halli","+ 30 years old",1593.8
"Macropus_rufogriseus","+ 30 years old",1377.7
"Malayopython_reticulatus","+ 30 years old",1845.9
"Malpolon_monspessulanus","+ 30 years old",1755.8
"Mandrillus_sphinx","+ 30 years old",1694.9
"Mandrillus_sphinx2","+ 30 years old",1604.8
"Miopithecus_ogouensis","+ 30 years old",1376.9
"Morelia_spilota","+ 30 years old",1760.4
"Mungos_mungo","+ 30 years old",1542.9
"Muscardinus_avellanarius","+ 30 years old",1194.6
"Mygale","+ 30 years old",1704.7
"Myocastor_coypus","+ 30 years old",1268.2
"Naja_naja","+ 30 years old",1983.8
"Nasua_narica","+ 30 years old",1389.5
"Nasua_nasua","+ 30 years old",1323.3
"Necrosyrtes_monachus","+ 30 years old",1488.5
"Neofelis_nebulosa","+ 30 years old",1664.6
"Nestor_meridionalis","+ 30 years old",1302.2
"Notechis_scutatus","+ 30 years old",1859.6
"Numida_meleagris","+ 30 years old",1481
"Nyctereutes_procyonoides","+ 30 years old",1383.7
"Odonata","+ 30 years old",1524.6
"Odonata2","+ 30 years old",1488.4
"Oryctolagus_cuniculus","+ 30 years old",1047
"Oryctolagus_cuniculus2","+ 30 years old",827.2
"Otocolobus_manul","+ 30 years old",1491.2
"Pamphagidae","+ 30 years old",1517.3
"Pan_paniscus","+ 30 years old",1428.9
"Pan_paniscus2","+ 30 years old",1411.2
"Pan_paniscus3","+ 30 years old",1445.8
"Pan_paniscus4","+ 30 years old",1331.9
"Pan_troglodytes","+ 30 years old",1487.1
"Pan_troglodytes2","+ 30 years old",1308.7
"Panthera_leo","+ 30 years old",1755.9
"Panthera_leo2","+ 30 years old",1788
"Panthera_leo3","+ 30 years old",1811.6
"Panthera_onca","+ 30 years old",1799.1
"Panthera_onca_2","+ 30 years old",1751.7
"Panthera_onca3","+ 30 years old",1815.6
"Panthera_pardus","+ 30 years old",1762.8
"Panthera_pardus_3","+ 30 years old",1821.7
"Panthera_pardus2","+ 30 years old",1646.2
"Panthera_tigris2","+ 30 years old",1744.2
"Panthera_uncia","+ 30 years old",1668.6
"Papillon","+ 30 years old",1477.1
"Papio_hamadryas","+ 30 years old",1604.1
"Pardofelis_temminckii","+ 30 years old",1591.3
"Petroica_macrocephala","+ 30 years old",1008.4
"Phacochoerus_africanus","+ 30 years old",1862.1
"Phascolarctos_cinereus","+ 30 years old",1094.8
"Phascolarctos_cinereus2","+ 30 years old",988.6
"Pholcus_phalangioides","+ 30 years old",1878.8
"Pithecia pithecia","+ 30 years old",1512.5
"Pithecia pithecia2","+ 30 years old",1566.8
"Plathyrrhinus_fusciventris","+ 30 years old",1531.4
"Podarcis_muralis","+ 30 years old",1653
"Pogona_vitticeps","+ 30 years old",1524.1
"Porphyrio_hochstetteri","+ 30 years old",1414.1
"Procyon_lotor","+ 30 years old",1395.1
"Propithecus_coquereli","+ 30 years old",1303.5
"Propithecus_verreauxi","+ 30 years old",1366.4
"Psittacus_erithacus","+ 30 years old",1286.9
"Pteropus_conspicillatus","+ 30 years old",1360
"Puma_concolor","+ 30 years old",1756.3
"Python_bivittatus","+ 30 years old",1840.7
"Python_regius","+ 30 years old",1842.4
"Rattus_norvegicus","+ 30 years old",1384
"Rhinopithecus_roxellana","+ 30 years old",1292.8
