"","Name","EloScore","EloRank","Name2","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"152","Panthera_leo2",1709.84,184,"Panthera_leo2 ","Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"153","Panthera_leo3",1757.31,199,"Panthera_leo3 ","Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"154","Panthera_onca",1755.63,197,"Panthera_onca ","Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"155","Panthera_onca_2",1701.77,181,"Panthera_onca_2 ","Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"156","Panthera_onca3",1796.69,207,"Panthera_onca3 ","Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"157","Panthera_pardus",1745.97,194,"Panthera_pardus ","Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"158","Panthera_pardus_3",1742.24,192,"Panthera_pardus_3 ","Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"159","Panthera_pardus2",1645.05,165,"Panthera_pardus2 ","Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"160","Panthera_tigris2",1710.69,185,"Panthera_tigris2 ","Panthera_tigris","Mammal","Felidae","Yes","No","Yes"
"161","Panthera_uncia",1679.52,174,"Panthera_uncia ","Panthera_uncia","Mammal","Felidae","Yes","No","Yes"
"162","Papillon",1538.33,131,"Papillon ","Papillon","Insect","Lepidoptera","No","No","No"
"163","Papio_hamadryas",1612.69,156,"Papio_hamadryas ","Papio_hamadryas","Mammal","Primate","No","No","No"
"164","Pardofelis_temminckii",1585.18,149,"Pardofelis_temminckii ","Pardofelis_temminckii","Mammal","Felidae","Yes","Yes","No"
"165","Petroica_macrocephala",1024.61,2,"Petroica_macrocephala ","Petroica_macrocephala","Bird","Bird (not Raptor)","No","No","No"
"166","Phacochoerus_africanus",1787.93,204,"Phacochoerus_africanus ","Phacochoerus_africanus","Mammal","Ungulate","No","No","No"
"167","Phascolarctos_cinereus",1059.8,4,"Phascolarctos_cinereus ","Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"168","Phascolarctos_cinereus2",1040.55,3,"Phascolarctos_cinereus2 ","Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"169","Pholcus_phalangioides",1856.08,218,"Pholcus_phalangioides ","Pholcus_phalangioides","Spider","Spider","No","Yes","No"
"170","Pithecia pithecia",1539.69,134,"Pithecia pithecia ","Pithecia_pithecia","Mammal","Primate","No","No","No"
"171","Pithecia pithecia2",1519.12,119,"Pithecia pithecia2 ","Pithecia_pithecia","Mammal","Primate","No","No","No"
"172","Plathyrrhinus_fusciventris",1569.52,144,"Plathyrrhinus_fusciventris ","Platyrrhinus_fusciventris","Mammal","Chiroptera","No","No","No"
"173","Podarcis_muralis",1620.19,158,"Podarcis_muralis ","Podarcis_muralis","Squamata","Lizard","No","Yes","No"
"174","Pogona_vitticeps",1484.77,102,"Pogona_vitticeps ","Pogona_vitticeps","Squamata","Lizard","No","Yes","No"
"175","Porphyrio_hochstetteri",1485.27,103,"Porphyrio_hochstetteri ","Porphyrio_hochstetteri","Bird","Bird (not Raptor)","No","No","No"
"176","Procyon_lotor",1349.76,55,"Procyon_lotor ","Procyon_lotor","Mammal","Procyonide","No","Yes","No"
"177","Propithecus_coquereli",1265.24,25,"Propithecus_coquereli ","Propithecus_coquereli","Mammal","Primate","No","No","No"
"178","Propithecus_verreauxi",1321.52,43,"Propithecus_verreauxi ","Propithecus_verreauxi","Mammal","Primate","No","No","No"
"179","Psittacus_erithacus",1270.11,27,"Psittacus_erithacus ","Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No"
"180","Pteropus_conspicillatus",1396.54,73,"Pteropus_conspicillatus ","Pteropus_conspicillatus","Mammal","Chiroptera","No","No","No"
"181","Puma_concolor",1718.07,188,"Puma_concolor ","Puma_concolor","Mammal","Felidae","Yes","No","Yes"
"182","Python_bivittatus",1820.86,210,"Python_bivittatus ","Python_bivittatus","Squamata","Snake","Yes","Yes","Yes"
"183","Python_regius",1760.3,201,"Python_regius ","Python_regius","Squamata","Snake","No","Yes","No"
"184","Rattus_norvegicus",1378.62,68,"Rattus_norvegicus ","Rattus_norvegicus","Mammal","Rodent","No","No","No"
